phrase,pose,source_sheet,pose_file
19,8,phrase_19.png,phrase_19_pose_08.jpg
19,9,phrase_19.png,phrase_19_pose_09.jpg
19,10,phrase_19.png,phrase_19_pose_10.jpg
20,1,phrase_20.png,phrase_20_pose_01.jpg
20,2,phrase_20.png,phrase_20_pose_02.jpg
20,3,phrase_20.png,phrase_20_pose_03.jpg
20,4,phrase_20.png,phrase_20_pose_04.jpg
20,5,phrase_20.png,phrase_20_pose_05.jpg
20,6,phrase_20.png,phrase_20_pose_06.jpg
20,7,phrase_20.png,phrase_20_pose_07.jpg
20,8,phrase_20.png,phrase_20_pose_08.jpg
20,9,phrase_20.png,phrase_20_pose_09.jpg
20,10,phrase_20.png,phrase_20_pose_10.jpg
21,1,phrase_21.png,phrase_21_pose_01.jpg
21,2,phrase_21.png,phrase_21_pose_02.jpg
21,3,phrase_21.png,phrase_21_pose_03.jpg
21,4,phrase_21.png,phrase_21_pose_04.jpg
21,5,phrase_21.png,phrase_21_pose_05.jpg
21,6,phrase_21.png,phrase_21_pose_06.jpg
21,7,phrase_21.png,phrase_21_pose_07.jpg
21,8,phrase_21.png,phrase_21_pose_08.jpg
21,9,phrase_21.png,phrase_21_pose_09.jpg
21,10,phrase_21.png,phrase_21_pose_10.jpg
22,1,phrase_22.png,phrase_22_pose_01.jpg
22,2,phrase_22.png,phrase_22_pose_02.jpg
22,3,phrase_22.png,phrase_22_pose_03.jpg
22,4,phrase_22.png,phrase_22_pose_04.jpg
22,5,phrase_22.png,phrase_22_pose_05.jpg
22,6,phrase_22.png,phrase_22_pose_06.jpg
22,7,phrase_22.png,phrase_22_pose_07.jpg
22,8,phrase_22.png,phrase_22_pose_08.jpg
22,9,phrase_22.png,phrase_22_pose_09.jpg
22,10,phrase_22.png,phrase_22_pose_10.jpg
23,1,phrase_23.png,phrase_23_pose_01.jpg
23,2,phrase_23.png,phrase_23_pose_02.jpg
23,3,phrase_23.png,phrase_23_pose_03.jpg
23,4,phrase_23.png,phrase_23_pose_04.jpg
23,5,phrase_23.png,phrase_23_pose_05.jpg
23,6,phrase_23.png,phrase_23_pose_06.jpg
23,7,phrase_23.png,phrase_23_pose_07.jpg
23,8,phrase_23.png,phrase_23_pose_08.jpg
23,9,phrase_23.png,phrase_23_pose_09.jpg
23,10,phrase_23.png,phrase_23_pose_10.jpg
24,1,phrase_24.png,phrase_24_pose_01.jpg
24,2,phrase_24.png,phrase_24_pose_02.jpg
24,3,phrase_24.png,phrase_24_pose_03.jpg
24,4,phrase_24.png,phrase_24_pose_04.jpg
24,5,phrase_24.png,phrase_24_pose_05.jpg
24,6,phrase_24.png,phrase_24_pose_06.jpg
24,7,phrase_24.png,phrase_24_pose_07.jpg
24,8,phrase_24.png,phrase_24_pose_08.jpg
24,9,phrase_24.png,phrase_24_pose_09.jpg
24,10,phrase_24.png,phrase_24_pose_10.jpg
25,1,phrase_25.png,phrase_25_pose_01.jpg
25,2,phrase_25.png,phrase_25_pose_02.jpg
25,3,phrase_25.png,phrase_25_pose_03.jpg
25,4,phrase_25.png,phrase_25_pose_04.jpg
25,5,phrase_25.png,phrase_25_pose_05.jpg
25,6,phrase_25.png,phrase_25_pose_06.jpg
25,7,phrase_25.png,phrase_25_pose_07.jpg
25,8,phrase_25.png,phrase_25_pose_08.jpg
25,9,phrase_25.png,phrase_25_pose_09.jpg
25,10,phrase_25.png,phrase_25_pose_10.jpg
26,1,phrase_26.png,phrase_26_pose_01.jpg
26,2,phrase_26.png,phrase_26_pose_02.jpg
26,3,phrase_26.png,phrase_26_pose_03.jpg
26,4,phrase_26.png,phrase_26_pose_04.jpg
26,5,phrase_26.png,phrase_26_pose_05.jpg
26,6,phrase_26.png,phrase_26_pose_06.jpg
26,7,phrase_26.png,phrase_26_pose_07.jpg
26,8,phrase_26.png,phrase_26_pose_08.jpg
26,9,phrase_26.png,phrase_26_pose_09.jpg
26,10,phrase_26.png,phrase_26_pose_10.jpg
27,1,phrase_27.png,phrase_27_pose_01.jpg
27,2,phrase_27.png,phrase_27_pose_02.jpg
27,3,phrase_27.png,phrase_27_pose_03.jpg
27,4,phrase_27.png,phrase_27_pose_04.jpg
27,5,phrase_27.png,phrase_27_pose_05.jpg
27,6,phrase_27.png,phrase_27_pose_06.jpg
27,7,phrase_27.png,phrase_27_pose_07.jpg
27,8,phrase_27.png,phrase_27_pose_08.jpg
27,9,phrase_27.png,phrase_27_pose_09.jpg
27,10,phrase_27.png,phrase_27_pose_10.jpg
28,1,phrase_28.png,phrase_28_pose_01.jpg
28,2,phrase_28.png,phrase_28_pose_02.jpg
28,3,phrase_28.png,phrase_28_pose_03.jpg
28,4,phrase_28.png,phrase_28_pose_04.jpg
28,5,phrase_28.png,phrase_28_pose_05.jpg
28,6,phrase_28.png,phrase_28_pose_06.jpg
28,7,phrase_28.png,phrase_28_pose_07.jpg
28,8,phrase_28.png,phrase_28_pose_08.jpg
28,9,phrase_28.png,phrase_28_pose_09.jpg
28,10,phrase_28.png,phrase_28_pose_10.jpg
29,1,phrase_29.png,phrase_29_pose_01.jpg
29,2,phrase_29.png,phrase_29_pose_02.jpg
29,3,phrase_29.png,phrase_29_pose_03.jpg
29,4,phrase_29.png,phrase_29_pose_04.jpg
29,5,phrase_29.png,phrase_29_pose_05.jpg
29,6,phrase_29.png,phrase_29_pose_06.jpg
29,7,phrase_29.png,phrase_29_pose_07.jpg
29,8,phrase_29.png,phrase_29_pose_08.jpg
29,9,phrase_29.png,phrase_29_pose_09.jpg
29,10,phrase_29.png,phrase_29_pose_10.jpg
30,1,phrase_30.png,phrase_30_pose_01.jpg
30,2,phrase_30.png,phrase_30_pose_02.jpg
30,3,phrase_30.png,phrase_30_pose_03.jpg
30,4,phrase_30.png,phrase_30_pose_04.jpg
30,5,phrase_30.png,phrase_30_pose_05.jpg
30,6,phrase_30.png,phrase_30_pose_06.jpg
30,7,phrase_30.png,phrase_30_pose_07.jpg
30,8,phrase_30.png,phrase_30_pose_08.jpg
30,9,phrase_30.png,phrase_30_pose_09.jpg
30,10,phrase_30.png,phrase_30_pose_10.jpg
31,1,phrase_31.png,phrase_31_pose_01.jpg
